Employee ID,Department,Role,Quarter,Attendance Band,Training Category,Goal Achievement,Manager Rating,Performance Band,Score (%)
EMP0001,Customer Service,CS Supervisor,Q1 2024,Good,High (7+),Met,4.2,Good,72.7
EMP0002,IT,Developer,Q4 2024,Fair,High (7+),Met,3.8,Good,73.0
EMP0003,Customer Service,CSR,Q1 2024,Excellent,Medium (3-6),Partially Met,3.3,Good,78.1
EMP0004,Finance,Analyst,Q4 2024,Fair,Medium (3-6),Met,4.4,Average,58.1
EMP0005,IT,Developer,Q2 2024,Excellent,High (7+),Not Met,4.8,Good,83.7
EMP0006,Sales,Sales Rep,Q4 2024,Fair,Medium (3-6),Not Met,4.6,Poor,48.2
EMP0007,Network Ops,Senior Technician,Q4 2024,Good,High (7+),Met,4.2,Good,70.4
EMP0008,Network Ops,Network Manager,Q2 2024,Fair,Medium (3-6),Not Met,4.4,Outstanding,94.9
EMP0009,Network Ops,Network Manager,Q2 2024,Excellent,Low (0-2),Partially Met,4.3,Outstanding,94.3
EMP0010,Finance,Senior Analyst,Q4 2024,Fair,High (7+),Not Met,3.2,Average,57.1
EMP0011,Sales,Senior Sales Rep,Q4 2024,Fair,Medium (3-6),Met,4.7,Outstanding,93.8
EMP0012,Sales,Sales Manager,Q3 2024,Fair,Medium (3-6),Partially Met,4.1,Good,76.9
EMP0013,Network Ops,Network Manager,Q1 2024,Fair,Medium (3-6),Exceeded,4.2,Poor,54.2
EMP0014,Sales,Sales Rep,Q1 2024,Good,High (7+),Met,5.0,Outstanding,98.3
EMP0015,Network Ops,Senior Technician,Q4 2024,Fair,Medium (3-6),Met,4.3,Average,61.6
EMP0016,Finance,Finance Manager,Q2 2024,Excellent,High (7+),Met,4.9,Good,73.6
EMP0017,IT,Developer,Q4 2024,Excellent,Medium (3-6),Exceeded,5.0,Good,71.3
EMP0018,Network Ops,Network Technician,Q3 2024,Excellent,High (7+),Exceeded,3.9,Average,62.6
EMP0019,HR,HR Officer,Q1 2024,Good,High (7+),Exceeded,4.9,Good,76.5
EMP0020,Sales,Senior Sales Rep,Q3 2024,Good,Medium (3-6),Met,3.4,Average,55.1
EMP0021,Customer Service,Senior CSR,Q4 2024,Excellent,Medium (3-6),Met,3.2,Outstanding,85.5
EMP0022,Sales,Sales Manager,Q3 2024,Fair,Medium (3-6),Met,3.5,Good,81.0
EMP0023,Customer Service,CS Supervisor,Q3 2024,Fair,Low (0-2),Partially Met,4.3,Average,66.1
EMP0024,Customer Service,Senior CSR,Q2 2024,Fair,Low (0-2),Met,4.8,Outstanding,88.6
EMP0025,IT,Developer,Q2 2024,Fair,Low (0-2),Met,3.6,Poor,53.5
EMP0026,Finance,Analyst,Q3 2024,Good,High (7+),Exceeded,4.2,Outstanding,91.8
EMP0027,IT,Developer,Q4 2024,Good,High (7+),Met,3.6,Good,71.1
EMP0028,Finance,Senior Analyst,Q4 2024,Good,Low (0-2),Exceeded,4.9,Poor,42.1
EMP0029,Finance,Finance Manager,Q3 2024,Fair,Low (0-2),Partially Met,4.1,Average,66.1
EMP0030,Customer Service,CSR,Q1 2024,Good,Low (0-2),Partially Met,3.1,Outstanding,91.5
EMP0031,HR,HR Manager,Q4 2024,Good,High (7+),Exceeded,4.5,Outstanding,95.4
EMP0032,Customer Service,CS Supervisor,Q1 2024,Fair,High (7+),Met,4.9,Average,58.0
EMP0033,Finance,Analyst,Q1 2024,Good,High (7+),Met,3.7,Average,60.5
EMP0034,Customer Service,CSR,Q3 2024,Fair,Low (0-2),Met,4.8,Good,72.1
